DATE,city,precipitation
2019-03-27,STL,0.0
2019-03-28,STL,0.66
2019-03-29,STL,0.11
2019-03-30,STL,1.65
2019-03-31,STL,0.0
2019-04-01,STL,0.0
2019-04-02,STL,0.0
2019-04-03,STL,0.0
2019-04-04,STL,0.45
2019-04-05,STL,0.0
2019-04-06,STL,0.0
2019-04-07,STL,0.1
2019-04-08,STL,0.0
2019-04-09,STL,0.0
2019-04-10,STL,0.0
2019-04-11,STL,0.11
2019-04-12,STL,0.0
2019-04-13,STL,0.25
2019-04-14,STL,0.66
2019-04-15,STL,0.0
2019-04-16,STL,0.0
2019-04-17,STL,0.35
2019-04-18,STL,1.58
2019-04-19,STL,0.0
2019-04-20,STL,0.0
2019-04-21,STL,0.0
2019-04-22,STL,0.0
2019-04-23,STL,0.01
2019-04-24,STL,0.63
2019-04-25,STL,0.14
2019-04-26,STL,0.0
2019-04-27,STL,0.09
2019-04-28,STL,0.0
2019-04-29,STL,0.03
2019-04-30,STL,2.36
2019-05-01,STL,0.25
2019-05-02,STL,1.32
2019-05-03,STL,0.03
2019-05-04,STL,0.19
2019-05-05,STL,0.0
2019-05-06,STL,0.0
2019-05-07,STL,0.1
2019-05-08,STL,1.07
2019-05-09,STL,0.06
2019-05-10,STL,0.0
2019-05-11,STL,0.42
2019-05-12,STL,0.02
2019-05-13,STL,0.0
2019-05-14,STL,0.0
2019-05-15,STL,0.12
2019-05-16,STL,0.0
2019-05-17,STL,0.0
2019-05-18,STL,0.0
2019-05-19,STL,0.13
2019-05-20,STL,0.0
2019-05-21,STL,1.79
2019-05-22,STL,0.0
2019-05-23,STL,0.18
2019-05-24,STL,0.0
2019-05-25,STL,0.0
2019-05-26,STL,0.96
2019-05-27,STL,0.01
2019-05-28,STL,0.0
2019-05-29,STL,0.84
2019-05-30,STL,0.0
2019-05-31,STL,0.0
2019-06-01,STL,1.12
2019-06-02,STL,0.0
2019-06-03,STL,0.0
2019-06-04,STL,0.08
2019-06-05,STL,0.46
